Sequence,word1,word2,polarity
256,compelling,piece,4
257,compelling,motion,4
258,compelling,enough,4
259,compelling,sensitive,4
260,compelling,character,4
261,complete,waste,0
262,complete,mess,0
263,complete,shambles,0
264,complete,moron,0
265,completely,forgettable,0
266,completely,loveable,4
267,completely,satisfying,4
268,completely,ridiculous,0
269,completely,awful,0
270,completely,enlightening,4
271,completely,delightful,4
272,complex,honest,4
273,conceivable,mistake,0
274,conceptually,brilliant,4
275,confidently,orchestrated,4
276,confusing,drudgery,0
277,confusion,pain,0
278,congrats,disney,4
279,consider,perfection,4
280,considerable,talents,4
281,considerable,appeal,4
282,considerable,charm,4
283,considerable,wit,4
284,consistently,funny,4
285,consistently,delightful,4
286,constant,smiles,4
287,constantly,unfulfilling,0
288,contrived,nonsense,0
289,contrived,unmotivated,0
290,convincing,radiant,4
291,convincing,intelligence,4
292,convincing,portrayal,4
293,corniness,cliche,0
294,corny,conventions,0
295,crafty,intelligent,4
296,crap,like,0
297,crawl,embarrassment,0
298,creative,storytelling,4
299,creativity,fearlessness,4
300,credible,account,4
301,crisp,point,4
302,critic,proof,4
303,crowd,pleaser,4
304,crude,film,0
305,crude,storyline,0
306,crude,humor,0
307,cruel,fate,0
308,cult,classic,4
309,cut,rest,4
310,cute,animals,4
311,cutting,edge,4
312,damaged,goods,0
313,damn,fine,4
314,damned,wonderful,4
315,damned,compelling,4
316,damning,censure,0
317,daring,original,4
318,dark,decipherable,0
319,darkly,funny,4
320,dated,unfunny,0
321,dazzling,entertainment,4
322,deadly,dull,0
323,deadly,bore,0
324,decidedly,unoriginal,0
325,deeper,engaging,4
326,deeply,unpleasant,0
327,deeply,appealing,4
328,deeply,watchable,4
329,deeply,rightly,4
330,deeply,satisfying,4
331,defies,expectation,4
332,deftly,executed,4
333,delicate,clever,4
334,delight,senses,4
335,delightful,entree,4
336,delightful,work,4
337,delightful,cast,4
338,delightful,comedy,4
339,delightful,derivative,4
340,delightfully,cheeky,4
341,delightfully,charming,4
342,delightfully,compatible,4
343,delights,simmering,4
344,delivers,promise,4
345,depress,life,0
346,depressing,movie,0
347,depressing,entertaining,0
348,depressingly,retrograde,0
349,derived,lobotomy,0
350,derrida,useless,0
351,describe,bad,0
352,describing,badness,0
353,deserves,sequel,4
354,desiccated,talent,0
355,despairingly,awful,0
356,detailed,performances,4
357,devastating,flaw,0
358,die,already,0
359,die,hideously,0
360,difficult,endless,0
361,directed,barely,0
362,director,watch,4
363,disappointing,meandering,0
364,disappointingly,thin,0
365,disappointingly,generic,0
366,disappointment,coming,0
367,disaster,story,0
368,disastrous,ending,0
369,discomfort,embarrassment,0
370,disgust,indifference,0
371,disgusting,begin,0
372,dismissed,mindless,0
373,distinct,welcome,4
374,distinguished,actor,4
375,distinguished,thoughtful,4
376,distressingly,rote,0
377,disturbing,disregard,0
378,dizzily,gorgeous,4
379,doomed,smallness,0
380,dopey,dialogue,0
381,downright,intoxicating,4
382,doze,one,0
383,drab,inert,0
384,drab,wannabe,0
385,drag,mediocrity,0
386,dramatically,moving,4
387,dramatically,satisfying,4
388,dreadful,romance,0
389,dreamlike,ecstasy,4
390,dreamy,evocative,4
391,dreary,movie,0
392,dreary,mess,0
393,dreary,sluggish,0
394,drooling,idiots,0
395,drops,ball,0
396,drowned,boredom,0
397,drowns,sap,0
398,dull,unimaginative,0
399,dull,lifeless,0
400,dull,witted,0
401,dull,mechanical,0
402,dull,wooden,0
403,dull,girl,0
404,dullingly,repetitive,0
405,dumb,universe,0
406,dumb,cheesy,0
407,dumb,comedy,0
408,dumb,movie,0
409,eats,screen,4
410,edge,seat,4
411,edge,seats,4
412,effective,aspects,4
413,effective,film,4
414,effortless,performance,4
415,effortlessly,draws,4
416,eisenstein,delivers,4
417,elegant,film,4
418,elegant,entertainment,4
419,elegantly,produced,4
420,elephant,feces,0
421,eloquent,memorial,4
422,eloquent,clarity,4
423,emaciated,flick,0
424,emerges,best,4
425,eminently,forgettable,0
426,emotional,misery,0
427,emotional,film,4
428,emotionally,satisfying,4
429,emptiness,maddeningly,0
430,enchanting,film,4
431,endearing,masterful,4
432,endless,assault,0
433,endlessly,grotesquely,0
434,energetic,original,4
435,energy,excitement,4
436,engage,audience,4
437,engaging,storyline,4
438,engaging,film,4
439,engaging,fantasy,4
440,engaging,exciting,4
441,engaging,intimate,4
442,engrossing,story,4
443,engrossing,entertainment,4
444,engrossing,thriller,4
445,enjoy,lifetime,4
446,enjoy,movie,4
447,enjoyable,family,4
448,enjoyable,choice,4
449,enjoyable,releases,4
450,enjoyable,film,4
451,enjoyable,comedy,4
452,enjoyable,performances,4
453,enjoyably,top,4
454,enjoyed,much,4
455,enormous,feeling,4
456,enormously,entertaining,4
457,enormously,endearing,4
458,enormously,enjoyable,4
459,enormously,good,4
460,enough,freshness,4
461,entertain,ages,4
462,entertaining,suggestive,4
463,entertaining,moving,4
464,entertaining,thriller,4
465,entertaining,informative,4
466,entertaining,instructive,4
467,enthralling,drama,4
468,entirely,witless,0
469,entirely,humorless,0
470,entirely,memorable,4
471,entirely,successful,4
472,entirely,charming,4
473,entirely,wholesome,4
474,entirely,infantile,0
475,epic,adventure,4
476,epic,cinema,4
477,especially,fine,4
478,especially,disappointing,0
479,essentially,ruined,0
480,essentially,empty,0
481,ethereal,beauty,4
482,even,ludicrous,0
483,exactly,bad,0
484,exceeding,expectations,4
485,exceedingly,clever,4
486,exceedingly,pleasant,4
487,exceedingly,memorable,4
488,exceeds,expectations,4
489,excellent,music,4
490,excellent,cast,4
491,excellent,performances,4
492,excellent,use,4
493,excellent,storytelling,4
494,excellent,job,4
495,excellent,work,4
496,excellent,sequel,4
497,exceptional,thriller,4
498,exceptional,detail,4
499,exceptional,film,4
500,exceptional,performances,4
501,exceptionally,good,4
502,excessively,tiresome,0
503,excited,dvd,4
504,exciting,plot,4
505,exciting,clever,4
506,exciting,moviemaking,4
507,exclamation,point,4
508,excruciating,film,0
509,excruciating,end,0
510,excruciatingly,unfunny,0
511,excruciatingly,tedious,0
512,execution,skill,4
513,exhilarating,new,4
514,exhilarating,exploration,4
515,exhilarating,documentary,4
516,expert,thriller,4
517,explode,obnoxiously,0
518,exploitative,garbage,0
519,expressive,power,4
520,exquisite,acting,4
521,exquisitely,performed,4
522,extraordinarily,good,4
523,extraordinarily,talented,4
524,extraordinary,debut,4
525,extraordinary,poignancy,4
526,extraordinary,film,4
527,extraordinary,journalism,4
528,extremely,unpleasant,0
529,extremely,bad,0
530,extremely,competent,4
531,extremely,funny,4
532,extremely,talented,4
533,exuberance,passion,4
534,eye,catching,4
535,eye,popping,4
536,f,ed,0
537,fabulously,funny,4
538,fact,interesting,4
539,failing,ultimately,0
540,fails,entertain,0
541,fails,fascinate,0
542,failure,storytelling,0
543,fairly,disposable,0
544,fairly,slow,0
545,faithful,portraiture,4
546,fake,dishonest,0
547,fantastic,movie,4
548,fantastically,vital,4
549,far,entertaining,4
550,far,superior,4
551,far,appealing,4
552,farcical,loathsome,0
553,fascinating,performances,4
554,fascinating,portrait,4
555,fascinating,study,4
556,fascinating,experiment,4
557,fascinating,stories,4
558,fascinating,timely,4
559,fascinating,look,4
560,fascinating,documentary,4
561,fascinating,film,4
562,fat,dumb,0
563,fatally,overlong,0
564,favorite,musical,4
565,feast,eyes,4
566,feel,alive,4
567,feel,unclean,0
568,fell,apart,0
569,fiery,passion,4
570,fills,revulsion,0
571,film,must,4
572,film,nothing,0
573,find,uninteresting,0
574,fine,acting,4
575,fine,effort,4
576,fine,work,4
577,fine,actors,4
578,fine,music,4
579,fine,documentary,4
580,fine,performances,4
581,fine,production,4
582,finely,crafted,4
583,finely,written,4
584,finest,films,4
585,firing,cylinders,4
586,first,rate,4
587,flat,effort,0
588,flat,amusing,4
589,flavorful,performances,4
590,flawed,brilliant,4
591,flawed,film,0
592,flawed,delayed,0
593,flawless,film,4
594,fleetingly,interesting,4
595,fling,gags,0
596,flinging,feces,0
597,flopped,surely,0
598,fluffy,disposible,0
599,fluid,mesmerizing,4
600,folds,thinness,0
601,fontaine,masterfully,4
602,foolish,shallow,0
603,forced,usual,0
604,foreign,mush,0
605,forgettable,film,0
606,formulaic,forgettable,0
607,four,star,4
608,frequently,hilarious,4
609,fresh,view,4
610,fresh,absorbing,4
611,friendship,love,4
612,frightening,movies,4
613,frighteningly,fascinating,4
614,frustrating,patchwork,0
615,frustratingly,unconvincing,0
616,fudged,opportunity,0
617,full,potential,4
618,full,bodied,4
619,full,charm,4
620,full,grace,4
621,fully,successful,4
622,fun,enjoyable,4
623,funnier,anything,4
624,funniest,idea,4
625,funniest,jokes,4
626,funniest,film,4
627,funniest,accurate,4
628,funny,documentary,4
629,funny,enjoyable,4
630,funny,poignant,4
631,funny,pithy,4
632,funny,film,4
633,funny,touching,4
634,funny,triumphant,4
635,funny,smart,4
636,funny,thrill,4
637,funny,sequences,4
638,funny,weird,4
639,gags,puerile,0
640,generic,title,0
641,generous,deep,4
642,genial,decent,4
643,genre,busting,4
644,genuine,insight,4
645,genuine,laughs,4
646,genuine,depth,4
647,genuine,narrative,4
648,genuine,excitement,4
649,genuinely,satisfying,4
650,genuinely,witty,4
651,genuinely,inspirational,4
652,genuinely,good,4
653,genuinely,sweet,4
654,give,thumbs,0
655,glaring,unforgettable,4
656,glorified,episode,0
657,glorious,spectacle,4
658,glorious,dose,4
659,glued,screen,4
660,golden,book,4
661,good,fun,4
662,good,time,4
663,good,natured,4
664,good,cinema,4
665,good,job,4
666,good,movie,4
667,good,romance,4
668,good,shot,4
669,good,human,4
670,good,humor,4
671,good,performances,4
672,good,material,4
673,good,acting,4
674,good,one,4
675,good,laugh,4
676,good,performance,4
677,good,film,4
678,good,action,4
679,good,pace,4
680,good,remember,4
681,good,thing,4
682,good,spirits,4
683,good,reasons,4
684,gorgeous,look,4
685,gorgeous,visuals,4
686,gorgeous,locales,4
687,gorgeous,scenes,4
688,gorgeous,passionate,4
689,gorgeous,film,4
690,gorgeous,epic,4
691,graceful,moving,4
692,graceless,devoid,0
693,graceless,hackneyed,0
694,grand,picture,4
695,grand,failure,0
696,grating,tedious,0
697,great,acting,4
698,great,movie,4
699,great,fun,4
700,great,impression,4
701,great,one,4
702,great,film,4
703,great,look,4
704,great,credit,4
705,great,cast,4
706,great,idea,4
707,great,actors,4
708,great,time,4
709,great,pleasure,4
710,great,way,4
711,great,material,4
712,great,character,4
713,great,presence,4
714,great,kids,4
715,great,cinema,4
716,great,performances,4
717,great,rewards,4
718,great,director,4
719,great,script,4
720,great,story,4
721,great,piece,4
722,great,premise,4
723,great,performance,4
724,great,writer,4
725,greatest,triumph,4
726,greatest,adventure,4
727,greatest,play,4
728,greatest,mistake,0
729,greatest,pictures,4
730,greatest,films,4
731,greatest,hits,4
732,gripping,compelling,4
733,gripping,documentary,4
734,gripping,drama,4
735,grisly,corpse,0
736,gross,comedy,0
737,grossest,movie,0
738,grotesque,boring,0
739,grotesque,narcissism,0
740,groundbreaking,endeavor,4
741,hackneyed,meanspirited,0
742,halfwit,plot,0
743,hallmark,film,4
744,happy,seen,4
745,hardly,watchable,0
746,hardly,masterpiece,0
747,hastily,amateurishly,0
748,hate,lousy,0
749,hate,one,0
750,hated,morning,0
751,heart,warming,4
752,heartbreakingly,beautiful,4
753,heartfelt,story,4
754,heartfelt,comedy,4
755,heartfelt,romance,4
756,heartfelt,hilarious,4
757,hearts,gold,4
758,heartwarming,film,4
759,heck,ride,4
760,hideously,clumsily,0
761,high,hilarity,4
762,high,note,4
763,highest,performances,4
764,highest,order,4
765,highly,pleasurable,4
766,highly,watchable,4
767,highly,entertaining,4
768,hilarious,dialogue,4
769,hilarious,rrb,4
770,hilarious,adventure,4
771,hilarious,ode,4
772,hip,comedy,4
773,historically,significant,4
774,hollywood,magic,4
775,hollywood,fluff,0
776,home,alabama,4
777,honest,enjoyable,4
778,honest,performance,4
779,honest,performances,4
780,honestly,affecting,4
781,honestly,nice,4
782,hopeful,optimistic,4
783,horrendously,confusing,0
784,horrible,movie,0
785,horrible,terrible,0
786,horrible,pains,0
787,horribly,depressing,0
788,horribly,wrong,0
789,huge,heart,4
790,huge,mess,0
791,huge,fan,4
792,hugely,overwritten,0
793,hugely,rewarding,4
794,hugely,enjoyable,4
795,humane,important,4
796,humanity,people,4
797,humor,humanity,4
798,humor,throughout,4
799,humor,warmth,4
800,humorous,heartfelt,4
801,huppert,magnificent,4
802,hypnotically,dull,0
803,i,entranced,4
804,i,enjoyed,4
805,i,hate,0
806,icily,brilliant,4
807,idiotic,ugly,0
808,ill,constructed,0
809,ill,conceived,0
810,imagination,vivid,4
811,imaginative,successful,4
812,imitation,movie,0
813,immature,unappealing,0
814,immensely,appealing,4
815,immensely,enjoyable,4
816,immensely,entertaining,4
817,impeccable,throughout,4
818,impenetrable,dull,0
819,important,movie,4
820,important,exhilarating,4
821,impossible,sit,0
822,impressive,images,4
823,impressive,achievement,4
824,impressive,talent,4
825,impressive,roster,4
826,impressive,style,4
827,impressive,results,4
828,impressive,job,4
829,impressive,performances,4
830,inane,awful,0
831,inane,unimaginative,0
832,incessant,use,0
833,incessant,whining,0
834,incoherence,redundancy,0
835,incoherent,jumble,0
836,inconsistent,dishonest,0
837,incredible,storyline,4
838,incredibly,captivating,4
839,incredibly,thoughtful,4
840,incredibly,inane,0
841,indescribably,bad,0
842,induces,headaches,0
843,indulgently,entertaining,4
844,inept,tedious,0
845,inescapably,gorgeous,4
846,inexcusable,dumb,0
847,inexplicable,nightmare,0
848,infectious,enthusiasm,4
849,infectiously,enthusiastic,4
850,infuriating,film,0
851,ingenious,film,4
852,ingenious,fun,4
853,ingenious,often,4
854,inherently,funny,4
855,innovative,realistic,4
856,insanely,funny,4
857,insanely,stupid,0
858,insanely,hilarious,4
859,insight,humor,4
860,insightful,entertaining,4
861,insightfully,written,4
862,insipid,script,0
863,insistent,repetitive,0
864,inspirational,status,4
865,inspired,portrait,4
866,inspired,performance,4
867,inspiring,ironic,4
868,inspiring,tale,4
869,instantly,forgettable,0
870,insufferable,movie,0
871,insufferably,naive,0
872,intellectual,masterpieces,4
873,intelligent,moving,4
874,intelligent,screenplay,4
875,intelligent,deeply,4
876,intelligent,humor,4
877,intelligent,movie,4
878,intelligent,flick,4
879,intelligently,accomplished,4
880,intense,effective,4
881,interesting,meditation,4
882,interesting,likable,4
883,interesting,movie,4
884,interesting,thoroughly,4
885,interminably,bleak,0
886,intermittently,hilarious,4
887,intimate,intelligent,4
888,intoxicating,atmosphere,4
889,intricate,magic,4
890,intriguing,stylish,4
891,intriguing,story,4
892,intriguing,alluring,4
893,intriguing,honorable,4
894,intriguing,realistic,4
895,intriguing,curiosity,4
896,inventive,fun,4
897,inventive,director,4
898,involving,mess,0
899,irredeemably,awful,0
900,irresistible,blend,4
901,irritates,saddens,0
902,it,fun,4
903,it,faults,0
904,jovial,air,4
905,joy,energy,4
906,joyous,documentary,4
907,joyous,celebration,4
908,jumbled,mess,0
909,keener,marvelous,4
910,keep,attention,4
911,kind,terrific,4
912,laborious,pacing,0
913,labour,love,4
914,lacking,everything,0
915,lacking,substance,0
916,lackluster,best,0
917,lackluster,screenplay,0
918,lacks,originality,0
919,lacks,substance,0
920,lags,badly,0
921,lame,sophomoric,0
922,lame,story,0
923,lame,comedy,0
924,laugh,bad,0
925,laughed,hard,4
926,laughingly,enjoyable,4
927,lavish,grandeur,4
928,laziness,arrogance,0
929,lazy,movie,0
930,lazy,material,0
931,lazy,writing,0
932,leaden,dull,0
933,leaden,predictable,0
934,leave,wanting,4
935,leave,loser,0
936,leonine,power,4
937,less,adorable,0
938,less,fresh,0
939,less,thrilling,0
940,life,performances,4
941,like,hell,0
942,like,it,4
943,like,masterpiece,4
944,lines,work,4
945,listless,witless,0
946,listless,desultory,0
947,little,gem,4
948,loathsome,movie,0
949,long,tedious,0
950,long,bore,0
951,long,unfocused,0
952,long,cutesy,0
953,loopy,ludicrous,0
954,losing,lunch,0
955,lot,charm,4
956,lot,problems,0
957,lots,laughs,4
958,lots,sloppiness,0
959,loud,boring,0
960,lousy,way,0
961,lousy,script,0
962,lousy,movie,0
963,lousy,one,0
964,love,much,4
965,love,film,4
966,love,movie,4
967,love,music,4
968,love,liza,4
969,love,power,4
970,love,remembrance,4
971,loved,film,4
972,lovely,trifle,4
973,lovely,film,4
974,lovely,amazing,4
975,lovely,beautifully,4
976,low,brow,0
977,ludicrous,attempt,0
978,ludicrous,contrived,0
979,ludicrous,film,0
980,lulled,coma,0
981,luminous,interviews,4
982,lush,inventive,4
983,lyrical,endeavour,4
984,made,exhilarating,4
985,made,cheap,0
986,magnetic,performance,4
987,majestic,achievement,4
988,major,waste,0
989,make,charmer,4
990,makes,compelling,4
991,many,flaws,0
992,marvelous,film,4
993,marvelous,series,4
994,marvelously,entertaining,4
995,masterful,work,4
996,masterful,performances,4
997,masterfully,controlled,4
998,masterfully,calibrated,4
999,masterpiece,triumph,4
1000,mayhem,stupidity,0
1001,meandering,confusing,0
1002,meandering,pointless,0
1003,meaningful,cinema,4
1004,mediocre,love,0
1005,mediocre,end,0
1006,memorable,film,4
1007,memorable,resourceful,4
1008,merely,bad,0
1009,mesmerizing,music,4
1010,mesmerizing,one,4
1011,mesmerizing,performance,4
1012,messy,murky,0
1013,messy,frustrating,0
1014,mindless,boring,0
1015,miraculous,movie,4
1016,miscalculates,badly,0
1017,miss,altogether,0
1018,modest,masterpiece,4
1019,monumental,achievement,4
1020,moronic,campus,0
1021,moronic,screenplays,0
1022,mostly,admirable,4
1023,mostly,bore,0
1024,move,bond,4
1025,movie,failings,0
1026,movie,bad,0
1027,movie,class,4
1028,movie,hopeless,0
1029,movie,disaster,0
1030,moving,adventurous,4
1031,moving,experience,4
1032,moving,important,4
1033,moving,vibrant,4
1034,moving,revelatory,4
1035,moving,performance,4
1036,mtv,schmucks,0
1037,much,fun,4
1038,much,worth,4
1039,much,exploitation,0
1040,much,imagination,4
1041,muddled,trashy,0
1042,mundane,70s,0
1043,must,see,4
1044,mystery,devoid,0
1045,n,like,0
1046,n,cut,0
1047,n,bother,0
1048,n,bad,0
1049,n,good,0
1050,n,made,0
1051,n,interesting,0
1052,n,work,0
1053,n,bright,0
1054,namesake,proud,4
1055,narrative,banality,0
1056,natural,acting,4
1057,naturally,funny,4
1058,naturally,charming,4
1059,near,masterpiece,4
1060,nearly,epic,4
1061,nearly,impossible,4
1062,nearly,dreadful,0
1063,nearly,incoherent,0
1064,never,fresh,0
1065,never,boring,4
1066,new,kind,4
1067,new,treasure,4
1068,nice,album,4
1069,no,point,0
1070,no,1,4
1071,no,character,0
1072,no,substance,0
1073,nominated,oscar,4
1074,none,original,0
1075,none,equal,4
1076,nonstop,hoot,4
1077,not,missed,4
1078,not,good,0
1079,not,smart,0
1080,not,entertaining,0
1081,not,funny,0
1082,nothing,new,0
1083,nothing,net,4
1084,nothing,happening,0
1085,numbingly,dull,0
1086,obscenely,bad,0
1087,obscure,message,0
1088,oddly,humorous,4
1089,odoriferous,thing,0
1090,offensive,redundant,0
1091,offensive,thing,0
1092,often,exquisite,4
1093,often,hilarious,4
1094,often,boring,0
1095,often,preachy,0
1096,often,fun,4
1097,often,funny,4
1098,oftentimes,funny,4
1099,old,garbage,0
1100,old,crap,0
1101,one,best,4
1102,one,star,0
1103,one,smartest,4
1104,one,splendid,4
1105,one,finest,4
1106,oppressively,heavy,0
1107,ordeal,amusement,0
1108,ordinary,obvious,0
1109,original,talent,4
1110,original,ignored,4
1111,original,insightful,4
1112,oscar,winning,4
1113,oscar,sweeping,4
1114,oscar,worthy,4
1115,oscar,nominated,4
1116,otherwise,appalling,0
1117,outrageous,ingenious,4
1118,outstanding,thrillers,4
1119,outstanding,originality,4
1120,outstanding,soundtrack,4
1121,outstanding,director,4
1122,outstanding,performance,4
1123,outwardly,sexist,0
1124,overexposed,waste,0
1125,overlong,infomercial,0
1126,overlong,bombastic,0
1127,overly,long,0
1128,overplayed,exaggerated,0
1129,overstuffed,undernourished,0
1130,overweight,shape,0
1131,overwhelmed,predictability,0
1132,overwhelming,waste,0
1133,overwhelming,pleasure,4
1134,overwrought,existentialism,0
1135,painful,watch,0
1136,painful,ride,0
1137,painfully,slow,0
1138,painfully,flat,0
1139,painfully,bad,0
1140,painfully,awful,0
1141,painfully,unfunny,0
1142,particularly,good,4
1143,particularly,innovative,4
1144,particularly,engaging,4
1145,pass,stinker,0
1146,passion,genius,4
1147,passion,energy,4
1148,passion,pretence,4
1149,pathetic,idea,0
1150,pathetic,junk,0
1151,patiently,waiting,4
1152,perfect,performance,4
1153,perfect,balance,4
1154,perfect,medium,4
1155,perfect,material,4
1156,perfect,roles,4
1157,perfect,movie,4
1158,perfect,show,4
1159,perfectly,bland,0
1160,perfectly,pleasant,4
1161,perfectly,formed,4
1162,performance,masterly,4
1163,performances,worthwhile,4
1164,performances,careers,4
1165,personal,low,0
1166,pertinent,enduring,4
1167,perverse,element,0
1168,phenomenal,especially,4
1169,phenomenal,performances,4
1170,phlegmatic,bore,0
1171,phony,humility,0
1172,picture,perfect,4
1173,picture,cleverness,4
1174,piece,crap,0
1175,pitiful,directing,0
1176,pitifully,unromantic,0
1177,pity,terror,0
1178,place,masterpiece,4
1179,plain,bad,0
1180,plain,crap,0
1181,plain,silly,0
1182,plain,boring,0
1183,plain,dumb,0
1184,plain,irrelevant,0
1185,plain,awful,0
1186,playful,recapitulation,4
1187,playful,haunting,4
1188,playfully,profound,4
1189,plays,worse,0
1190,pleasant,start,4
1191,pleasing,verisimilitude,4
1192,pleasurable,trifle,4
1193,pleasure,watch,4
1194,plenty,fun,4
1195,plenty,laughs,4
1196,plodding,mess,0
1197,plodding,picture,0
1198,plotless,shapeless,0
1199,plotting,mindless,0
1200,poetic,heartbreaking,4
1201,poetic,imagery,4
1202,poetry,motion,4
1203,poignant,delicately,4
1204,poignant,funny,4
1205,point,nausea,0
1206,point,ridiculousness,0
1207,pointless,extremes,0
1208,pointless,meandering,0
1209,pointless,stupid,0
