,word,polarity
174,lousy,0
175,succeeds,4
176,bile,0
177,exquisite,4
178,worthless,0
179,lame,0
180,recommend,4
181,original,4
182,thrills,4
183,illness,0
184,stinks,0
185,unfulfilling,0
186,bore,0
187,exquisitely,4
188,negativity,0
189,smile,4
190,uplifter,4
191,marvelous,4
192,disappointment,0
193,effortless,4
194,unimaginative,0
195,unendurable,0
196,pure,4
197,success,4
198,wow,4
199,amaze,4
200,unmemorable,0
201,good,4
202,energizing,4
203,fantastic,4
204,unpretentious,4
205,courageousness,4
206,imaginative,4
207,gleefully,4
208,bitter,0
209,well,4
210,purpose,4
211,enriched,4
212,revulsion,0
213,awfully,0
214,racism,0
215,idiots,0
216,insufferable,0
217,sucked,0
218,unwatchable,0
219,forgettable,0
220,fascinating,4
221,excellence,4
222,unbearable,0
223,cowardly,0
224,crap,0
225,nicest,4
226,polished,4
227,mess,0
228,exciting,4
229,ilk,4
230,orgasm,4
231,ludicrous,0
232,disgusting,0
233,fabulous,4
234,elegant,4
235,turd,0
236,unfunny,0
237,inspiration,4
238,stinker,0
239,crippled,0
240,exploitative,0
241,delightful,4
242,pleasing,4
243,drab,0
244,perfection,4
245,enjoyably,4
246,bruised,0
247,dud,0
248,devastating,0
249,racist,0
250,rubbish,0
251,enchanting,4
252,exhilarating,4
253,choppy,0
254,sucker,0
255,satisfy,4
256,esteemed,4
257,enjoyable,4
258,timeless,4
259,priceless,4
260,dumb,0
261,picked,4
262,rewards,4
263,splendid,4
264,freakshow,0
265,disappoints,0
266,errors,0
267,standout,4
268,extraordinarily,4
269,flavorless,0
270,treasure,4
271,bored,0
272,nasty,0
273,doomed,0
274,shoddy,0
275,meaningless,0
276,epic,4
277,tiring,0
278,inspiring,4
279,inauthentic,0
280,humorless,0
281,hated,0
282,encourage,4
283,unconvincing,0
284,steals,0
285,awful,0
286,infuriating,0
287,grotesque,0
288,uneventful,0
289,masterpeice,4
290,pompous,0
291,titillating,4
292,disappoint,0
293,eloquent,4
294,shine,4
295,wonderful,4
296,ick,0
297,treat,4
298,ugly,0
299,blessed,4
300,nauseating,0
301,epiphany,4
302,riveted,4
303,dreamy,4
304,misguided,0
305,gross,0
306,moronic,0
307,achievement,4
308,see,4
309,tremendous,4
310,heroic,4
311,tortuous,0
312,adorable,4
313,gags,0
314,flop,0
315,pathetic,0
316,potent,4
317,jerky,0
318,wearisome,0
319,ingenious,4
320,icky,0
321,uncompelling,0
322,baaaaaaaaad,0
323,artfully,4
324,distasteful,0
325,breathtaking,4
326,phenomenal,4
327,genius,4
328,marvelously,4
329,satisfies,4
330,downer,0
331,stumblebum,0
332,fiery,4
333,goodies,4
334,turkey,0
335,inspired,0
336,saddest,0
337,insightfully,4
338,failure,0
339,oscar,4
340,touching,4
341,snooze,0
342,monotony,0
343,super,4
344,unrewarding,0
345,repulsive,0
346,disgusted,0
347,appalling,0
348,hilarious,4
349,greatness,4
350,unrecoverable,0
351,sweetheart,4
352,appealing,4
353,favorite,4
354,crappy,0
355,annoyance,0
356,awesome,4
357,cringe,0
358,wasted,0
359,compelling,4
360,enthralling,4
361,stunningly,4
362,walked,0
363,skip,0
364,worked,4
365,caved,0
366,hogwash,0
367,enchanted,4
368,unappealing,0
369,astounds,4
370,offensive,0
371,favourite,4
372,hideously,0
373,inferior,0
374,lackluster,0
375,predictable,0
376,celebrate,4
377,cinema,4
378,miserable,0
379,stalking,0
380,keep,4
381,cesspool,0
382,spirited,4
383,loser,0
384,tastelessness,0
385,electric,4
386,liability,0
387,artless,0
388,gracefully,4
389,pleased,4
390,botches,0
391,must,4
392,flawless,4
393,pissed,0
394,proficient,4
395,horribly,0
396,codswallop,0
397,engulfed,4
398,miraculous,4
399,agonizing,0
400,crisis,0
401,hunk,4
402,disdain,0
403,superior,4
404,bitchy,0
405,smutty,0
406,masterly,4
407,pungent,0
408,snoozer,0
409,boredom,0
410,terrible,0
411,unencouraging,0
412,dimwits,0
413,excites,4
414,flawed,0
415,reveals,4
416,spectacular,4
417,dread,0
418,spellbinding,4
419,works,4
420,iconic,4
421,incoherent,0
422,bomb,0
423,majestic,4
424,savory,4
425,disgust,0
426,surprises,4
427,unforgettable,4
428,class,4
429,sparkles,4
430,effective,4
431,masters,4
432,strong,4
433,embracing,4
434,triumphant,4
435,brilliance,4
436,lazy,0
437,praiseworthy,4
438,snide,0
439,endearing,4
440,unsuccessful,0
441,idiocy,0
442,sit,0
443,cruelly,0
444,inventive,4
445,embarrassment,0
446,heart,4
447,drowned,0
448,hideous,0
449,bland,0
450,thumbs,0
451,dying,0
452,insecure,0
453,deliver,4
454,inexcusable,0
455,painful,0
456,dudsville,0
457,authentic,4
458,repellent,0
459,succeeded,4
460,grotesquely,0
461,scintillating,4
462,cheer,4
463,coma,0
464,abomination,0
465,bright,4
466,flopped,0
467,ingeniously,4
468,artsy,4
469,disinterest,0
470,zzzzzzzzz,0
471,long,0
472,adultery,0
473,rehearsed,0
474,puerile,0
475,uninspiring,0
476,wins,4
477,persuades,4
478,riot,4
479,trumps,4
480,waste,0
481,poo,0
482,laziest,0
483,scuzzy,0
484,mesmerised,4
485,crapulence,0
486,repugnant,0
487,goddammit,0
488,wretched,0
489,undisciplined,0
490,drag,0
491,likeable,4
492,finest,4
493,intelligently,4
494,unimaginatively,0
495,illiterate,0
496,corniest,0
497,fabulousness,4
498,flounders,0
499,crowdpleaser,4
500,dehumanizing,0
501,exuberant,4
502,miserably,0
503,dreadfulness,0
504,classic,4
505,like,4
506,burnt,0
507,informative,4
